trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
260,False,"{'a': 0.07502004008532698, 'e': 0.07502004008532698}",20,0,18.185074636426837,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
261,False,"{'a': 0.07427357821433388, 'e': 0.07427357821433388}",20,0,24.794040563677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.0735345437630571, 'e': 0.0735345437630571}",20,9,22.232107272160704,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.07280286282743559, 'e': 0.07280286282743559}",30,7,-17.163637753856385,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
264,False,"{'a': 0.0720784622387661, 'e': 0.0720784622387661}",25,7,-11.370677254050594,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
265,False,"{'a': 0.07136126955638605, 'e': 0.07136126955638605}",25,14,18.16943786335208,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.0706512130604296, 'e': 0.0706512130604296}",30,10,36.13937985724196,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.06994822174465536, 'e': 0.06994822174465536}",20,11,14.259544760409762,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.069252225309346, 'e': 0.069252225309346}",20,16,7.671672738826057,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.06856315415427791, 'e': 0.06856315415427791}",20,16,8.886983747837212,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.06788093937176144, 'e': 0.06788093937176144}",20,12,16.03677828622667,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.06720551273974976, 'e': 0.06720551273974976}",25,10,6.404121308242255,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
272,False,"{'a': 0.06653680671501686, 'e': 0.06653680671501686}",20,2,32.478844820991526,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.06587475442640295, 'e': 0.06587475442640295}",25,8,24.232661116992094,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.06521928966812753, 'e': 0.06521928966812753}",30,6,17.160744754678063,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
275,False,"{'a': 0.06457034689316847, 'e': 0.06457034689316847}",30,18,17.513916415399706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.06392786120670757, 'e': 0.06392786120670757}",25,15,20.050091661296662,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.0632917683596407, 'e': 0.0632917683596407}",20,14,12.413981330001917,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.06266200474215315, 'e': 0.06266200474215315}",25,19,10.174975557143949,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.06203850737735829, 'e': 0.06203850737735829}",20,10,17.98375376824287,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.06142121391500013, 'e': 0.06142121391500013}",20,9,-20.824840985463247,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
281,False,"{'a': 0.06081006262521795, 'e': 0.06081006262521795}",20,10,18.231828420272304,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.06020499239237354, 'e': 0.06020499239237354}",20,15,10.165695152612265,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.05960594270893937, 'e': 0.05960594270893937}",25,11,21.201011920227373,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.05901285366944784, 'e': 0.05901285366944784}",30,20,18.354938689434988,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.05842566596450083, 'e': 0.05842566596450083}",20,9,9.147754940777691,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.057844320874838456, 'e': 0.057844320874838456}",25,15,17.435441397879938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.05726876026546736, 'e': 0.05726876026546736}",20,10,5.638397583405177,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.0566989265798469, 'e': 0.0566989265798469}",30,8,34.97963065890244,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.056134762834133725, 'e': 0.056134762834133725}",25,2,-3.846889000472663,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
290,False,"{'a': 0.05557621261148306, 'e': 0.05557621261148306}",20,0,-48.536845485896016,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
291,False,"{'a': 0.05502322005640723, 'e': 0.05502322005640723}",25,18,10.131190975692256,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.05447572986918986, 'e': 0.05447572986918986}",25,17,15.588276901204821,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.05393368730035602, 'e': 0.05393368730035602}",20,10,7.472066054261976,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.053397038145197084, 'e': 0.053397038145197084}",20,13,11.880464458163692,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.05286572873835037, 'e': 0.05286572873835037}",25,20,8.988604175075217,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.05233970594843238, 'e': 0.05233970594843238}",20,10,17.84384453038181,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.05181891717272583, 'e': 0.05181891717272583}",25,7,27.803857312050543,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.05130331033191911, 'e': 0.05130331033191911}",20,5,23.54119761799719,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.0507928338648985, 'e': 0.0507928338648985}",20,0,31.98788076543111,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
300,False,"{'a': 0.050287436723591865, 'e': 0.050287436723591865}",25,20,7.521750459863825,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.049787068367863944, 'e': 0.049787068367863944}",20,6,26.91209262764903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,12,42.917984176340234,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,11,14.603938961122248,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,15.60241486184524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,24.02967156261564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,18.303616955828204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,21.805835276683343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,27.25058564486838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,14.996447082320822,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,18.58197335722129,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,18,9.133316675236937,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
