trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.27803730045319414, 'e': 0.27803730045319414}",25,3,-47.38770358480053,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.27527078308975234, 'e': 0.27527078308975234}",25,6,22.61901725687881,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.2725317930340126, 'e': 0.2725317930340126}",25,8,27.641255347807487,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.2698200563846868, 'e': 0.2698200563846868}",20,6,27.41565671609373,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.26713530196585034, 'e': 0.26713530196585034}",30,4,10.905737073265382,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.26447726129982396, 'e': 0.26447726129982396}",20,6,-15.024677933842534,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.261845668580326, 'e': 0.261845668580326}",20,6,0.20789830213910543,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.2592402606458915, 'e': 0.2592402606458915}",20,2,26.993313020885218,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.2566607769535559, 'e': 0.2566607769535559}",30,20,4.040474322205117,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.25410695955280027, 'e': 0.25410695955280027}",25,13,4.230206638223072,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.25157855305975646, 'e': 0.25157855305975646}",30,0,-15.92307996052662,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.24907530463166816, 'e': 0.24907530463166816}",25,15,16.168285867572713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.24659696394160643, 'e': 0.24659696394160643}",30,14,-17.273553829748934,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.2441432831534371, 'e': 0.2441432831534371}",35,6,17.801395176858254,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.24171401689703645, 'e': 0.24171401689703645}",35,8,16.22623703763228,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.23930892224375455, 'e': 0.23930892224375455}",30,11,-32.63674242505144,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.23692775868212176, 'e': 0.23692775868212176}",30,14,18.906965454755735,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.23457028809379765, 'e': 0.23457028809379765}",20,8,-21.48025722097322,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.23223627472975883, 'e': 0.23223627472975883}",20,13,12.658328757970615,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.22992548518672384, 'e': 0.22992548518672384}",20,5,-26.488295997281494,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
